Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
C_1.txt,11,13,7,1276.01,483,0.483
C_10.txt,14,32,12,53034.4,500,0.5
C_11.txt,14,32,17,51538.4,544,0.544
C_12.txt,14,32,18,532223,552,0.552
C_13.txt,17,35,21,6676.73,582,0.582
C_14.txt,17,35,17,36956.9,530,0.53
C_15.txt,17,35,21,14561.1,607,0.607
C_16.txt,17,35,15,54801.7,526,0.526
C_17.txt,17,35,16,59665,530,0.53
C_18.txt,17,35,16,623244,523,0.523
C_2.txt,11,13,7,10183.6,474,0.474
C_3.txt,11,13,4,840.035,452,0.452
C_4.txt,11,13,5,12268.1,449,0.449
C_5.txt,11,13,8,27624.8,468,0.468
C_6.txt,11,13,4,62559.7,460,0.46
C_7.txt,14,32,19,6616.96,545,0.545
C_8.txt,14,32,15,44151.6,536,0.536
C_9.txt,14,32,14,7660.18,510,0.51
E_1.txt,7,12,12,3001.44,499,0.499
E_10.txt,10,18,18,130968,567,0.567
E_11.txt,10,18,18,57945.7,567,0.567
E_12.txt,10,18,18,576867,548,0.548
E_13.txt,20,32,32,17727.9,789,0.789
E_14.txt,20,32,32,117500,790,0.79
E_15.txt,20,32,32,41872.6,789,0.789
E_16.txt,20,32,32,308377,790,0.79
E_17.txt,20,32,32,227804,774,0.774
E_18.txt,20,32,32,2.09765e+06,798,0.798
E_2.txt,7,12,12,17494.2,498,0.498
E_3.txt,7,12,12,4616.5,495,0.495
E_4.txt,7,12,12,29314.9,499,0.499
E_5.txt,7,12,12,25636.6,495,0.495
E_6.txt,7,12,12,284042,499,0.499
E_7.txt,10,18,18,4760.13,544,0.544
E_8.txt,10,18,18,40626.9,554,0.554
E_9.txt,10,18,18,8909.54,546,0.546
H_1.txt,6,11,6,1006.87,472,0.472
H_10.txt,10,30,16,59852.9,526,0.526
H_11.txt,11,35,16,11324.4,529,0.529
H_12.txt,11,35,8,39214.9,477,0.477
H_13.txt,12,40,26,16814.8,670,0.67
H_14.txt,12,40,21,167319,596,0.596
H_15.txt,14,48,23,22004,616,0.616
H_16.txt,14,48,24,264329,643,0.643
H_17.txt,18,22,13,7439.84,508,0.508
H_18.txt,18,22,13,74897.8,501,0.501
H_19.txt,21,26,15,10354.5,519,0.519
H_2.txt,6,11,3,2948.41,467,0.467
H_20.txt,21,26,13,77509.3,498,0.498
H_21.txt,24,30,17,24671.7,532,0.532
H_22.txt,24,30,16,132437,524,0.524
H_23.txt,27,33,15,17317.1,518,0.518
H_24.txt,27,33,14,97105.9,508,0.508
H_3.txt,7,15,4,326.349,458,0.458
H_4.txt,7,15,9,28379.1,474,0.474
H_5.txt,8,20,9,2007.76,474,0.474
H_6.txt,8,20,4,6963.49,457,0.457
H_7.txt,9,25,11,2931.53,483,0.483
H_8.txt,9,25,12,39479,487,0.487
H_9.txt,10,30,16,9066.39,518,0.518
large_1.txt,10,16,16,5224.29,518,0.518
large_10.txt,10,20,20,85784,571,0.571
large_11.txt,10,20,20,64834,578,0.578
large_12.txt,10,20,20,677613,568,0.568
large_13.txt,10,27,27,10501.5,682,0.682
large_14.txt,10,27,27,101887,687,0.687
large_15.txt,10,27,27,30171.7,685,0.685
large_16.txt,10,27,27,249656,691,0.691
large_17.txt,10,27,27,153085,691,0.691
large_18.txt,10,27,27,1.37251e+06,675,0.675
large_19.txt,20,53,53,42900.3,1471,1.471
large_2.txt,10,16,16,29092.1,524,0.524
large_20.txt,20,53,53,289880,1484,1.484
