Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
C_1.txt,11,13,7,1276.01,0,0
C_10.txt,14,32,12,53034.4,1,0.001
C_11.txt,14,32,17,51538.4,3,0.003
C_12.txt,14,32,18,532223,4,0.004
C_13.txt,17,35,21,6669.36,5,0.005
C_14.txt,17,35,17,36956.9,3,0.003
C_15.txt,17,35,21,14561.1,5,0.005
C_16.txt,17,35,15,54801.7,2,0.002
C_17.txt,17,35,16,59665,2,0.002
C_18.txt,17,35,16,623244,2,0.002
C_2.txt,11,13,7,10183.6,0,0
C_3.txt,11,13,4,840.035,0,0
C_4.txt,11,13,5,12268.1,0,0
C_5.txt,11,13,8,27624.8,0,0
C_6.txt,11,13,4,62559.7,0,0
C_7.txt,14,32,19,6616.96,4,0.004
C_8.txt,14,32,15,44151.6,2,0.002
C_9.txt,14,32,14,7660.18,2,0.002
E_1.txt,7,12,12,3001.44,1,0.001
E_10.txt,10,18,18,130968,4,0.004
E_11.txt,10,18,18,57945.7,3,0.003
E_12.txt,10,18,18,576867,4,0.004
E_13.txt,20,32,32,17727.9,16,0.016
E_14.txt,20,32,32,117500,16,0.016
E_15.txt,20,32,32,41872.6,15,0.015
E_16.txt,20,32,32,308377,15,0.015
E_17.txt,20,32,32,227804,15,0.015
E_18.txt,20,32,32,2.09765e+06,15,0.015
E_2.txt,7,12,12,17494.2,1,0.001
E_3.txt,7,12,12,4616.5,1,0.001
E_4.txt,7,12,12,29314.9,1,0.001
E_5.txt,7,12,12,25636.6,1,0.001
E_6.txt,7,12,12,284042,1,0.001
E_7.txt,10,18,18,4760.13,3,0.003
E_8.txt,10,18,18,40626.9,4,0.004
E_9.txt,10,18,18,8909.54,3,0.003
H_1.txt,6,11,6,1006.87,0,0
H_10.txt,10,30,16,59852.9,3,0.003
H_11.txt,11,35,16,11324.4,2,0.002
H_12.txt,11,35,8,39214.9,0,0
H_13.txt,12,40,26,16814.8,9,0.009
H_14.txt,12,40,21,167319,5,0.005
H_15.txt,14,48,23,22004,6,0.006
H_16.txt,14,48,24,264329,7,0.007
H_17.txt,18,22,13,7439.84,1,0.001
H_18.txt,18,22,13,74897.8,1,0.001
H_19.txt,21,26,15,10354.5,2,0.002
H_2.txt,6,11,3,2948.41,0,0
H_20.txt,21,26,13,77509.3,1,0.001
H_21.txt,24,30,17,24671.7,3,0.003
H_22.txt,24,30,16,132437,2,0.002
H_23.txt,27,33,15,17317.1,2,0.002
H_24.txt,27,33,14,97105.9,2,0.002
H_3.txt,7,15,4,326.349,0,0
H_4.txt,7,15,9,28379.1,1,0.001
H_5.txt,8,20,9,2007.76,0,0
H_6.txt,8,20,4,6963.49,0,0
H_7.txt,9,25,11,2931.53,1,0.001
H_8.txt,9,25,12,39479,1,0.001
H_9.txt,10,30,16,9066.39,3,0.003
large_1.txt,10,16,16,5224.29,2,0.002
large_10.txt,10,20,20,85784,5,0.005
large_11.txt,10,20,20,64834,4,0.004
large_12.txt,10,20,20,677613,4,0.004
large_13.txt,10,27,27,10501.5,10,0.01
large_14.txt,10,27,27,101887,10,0.01
large_15.txt,10,27,27,30171.7,10,0.01
large_16.txt,10,27,27,249656,10,0.01
large_17.txt,10,27,27,153085,10,0.01
large_18.txt,10,27,27,1.37251e+06,10,0.01
large_19.txt,20,53,53,42900.3,62,0.062
large_2.txt,10,16,16,29092.1,3,0.003
large_20.txt,20,53,53,289880,64,0.064
large_21.txt,20,53,53,111110,62,0.062
large_22.txt,20,53,53,971983,62,0.062
large_23.txt,20,53,53,651031,62,0.062
large_24.txt,20,53,53,5.55317e+06,63,0.063
large_25.txt,20,75,75,91049.2,167,0.167
large_26.txt,20,75,75,422323,166,0.166
large_27.txt,20,75,75,174669,167,0.167
large_28.txt,20,75,75,1.69623e+06,168,0.168
large_29.txt,20,75,75,973495,166,0.166
large_3.txt,10,16,16,6691.71,3,0.003
large_30.txt,20,75,75,1.09062e+07,167,0.167
large_31.txt,30,110,110,212196,494,0.494
large_32.txt,30,110,110,1.32727e+06,494,0.494
large_33.txt,30,110,110,382563,493,0.493
large_34.txt,30,110,110,3.70952e+06,494,0.494
large_35.txt,30,110,110,2.07749e+06,492,0.492
large_36.txt,30,110,110,2.10615e+07,494,0.494
large_37.txt,30,162,162,522429,1546,1.546
large_38.txt,30,162,162,2.79077e+06,1547,1.547
large_39.txt,30,162,162,836338,1545,1.545
large_4.txt,10,16,16,52004.2,3,0.003
large_40.txt,30,162,162,6.32262e+06,1549,1.549
large_41.txt,30,162,162,6.54794e+06,1544,1.544
large_42.txt,30,162,162,4.83254e+07,1544,1.544
large_43.txt,30,232,232,855945,4362,4.362
large_44.txt,30,232,232,5.06609e+06,4359,4.359
large_45.txt,30,232,232,1.96933e+06,4351,4.351
large_46.txt,30,232,232,1.45606e+07,4349,4.349
large_47.txt,30,232,232,1.00319e+07,4369,4.369
large_48.txt,30,232,232,9.16322e+07,4366,4.366
large_5.txt,10,16,16,45697.9,2,0.002
large_6.txt,10,16,16,656391,2,0.002
large_7.txt,10,20,20,6949.57,4,0.004
large_8.txt,10,20,20,40734.3,5,0.005
large_9.txt,10,20,20,12284.2,5,0.005
sample_input_1.txt,4,4,4,816,0,0
sample_input_2.txt,4,4,4,62720,0,0
small_1.txt,7,8,8,1130.41,0,0
small_10.txt,7,9,9,23535.9,0,0
small_11.txt,7,9,9,13144,0,0
small_12.txt,7,9,9,94532.3,0,0
small_13.txt,8,10,10,2490.87,1,0.001
small_14.txt,8,10,10,15774.2,1,0.001
small_15.txt,8,10,10,4110.82,1,0.001
small_16.txt,8,10,10,24936,0,0
small_17.txt,8,10,10,17685.5,1,0.001
small_18.txt,8,10,10,137343,1,0.001
small_2.txt,7,8,8,13004.3,0,0
small_3.txt,7,8,8,883.931,0,0
small_4.txt,7,8,8,21224.1,0,0
small_5.txt,7,8,8,11390.6,0,0
small_6.txt,7,8,8,146806,0,0
small_7.txt,7,9,9,2245.87,0,0
small_8.txt,7,9,9,9167.69,0,0
small_9.txt,7,9,9,2427.14,0,0
