Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
C_1.txt,11,13,7,1276.01,77,0.077
C_10.txt,14,32,12,52198.7,373,0.373
C_11.txt,14,32,17,49257,1027,1.027
C_12.txt,14,32,18,517638,1198,1.198
C_13.txt,17,35,21,6216.69,1840,1.84
C_14.txt,17,35,17,34260.5,1028,1.028
C_15.txt,17,35,21,14475.4,1838,1.838
C_16.txt,17,35,15,54801.7,673,0.673
C_17.txt,17,35,16,57837.3,809,0.809
C_18.txt,17,35,16,594917,803,0.803
C_2.txt,11,13,7,10123.7,77,0.077
C_3.txt,11,13,4,790.26,15,0.015
C_4.txt,11,13,5,12268.1,32,0.032
C_5.txt,11,13,8,26442.8,113,0.113
C_6.txt,11,13,4,62559.7,16,0.016
C_7.txt,14,32,19,6335.39,1397,1.397
C_8.txt,14,32,15,35672.2,679,0.679
C_9.txt,14,32,14,7636.87,559,0.559
E_1.txt,7,12,12,2574.37,363,0.363
E_10.txt,10,18,18,125258,1205,1.205
E_11.txt,10,18,18,57945.7,1204,1.204
E_12.txt,10,18,18,534422,1207,1.207
E_13.txt,20,32,32,17727.9,5895,5.895
E_14.txt,20,32,32,117500,5892,5.892
E_15.txt,20,32,32,41872.6,5908,5.908
E_16.txt,20,32,32,308377,5882,5.882
E_17.txt,20,32,32,227804,5875,5.875
E_18.txt,20,32,32,2.09765e+06,5886,5.886
E_2.txt,7,12,12,15599.1,363,0.363
E_3.txt,7,12,12,4616.5,364,0.364
E_4.txt,7,12,12,26886.9,362,0.362
E_5.txt,7,12,12,25636.6,362,0.362
E_6.txt,7,12,12,279838,362,0.362
E_7.txt,10,18,18,4719.23,1206,1.206
E_8.txt,10,18,18,37098.9,1206,1.206
E_9.txt,10,18,18,8903.17,1212,1.212
H_1.txt,6,11,6,967.267,51,0.051
H_10.txt,10,30,16,58034.8,809,0.809
H_11.txt,11,35,16,10359.3,807,0.807
H_12.txt,11,35,8,34064.9,112,0.112
H_13.txt,12,40,26,16814.8,3292,3.292
H_14.txt,12,40,21,167319,1833,1.833
H_15.txt,14,48,23,21551,2363,2.363
H_16.txt,14,48,24,261515,2667,2.667
H_17.txt,18,22,13,7331.53,451,0.451
H_18.txt,18,22,13,73902,449,0.449
H_19.txt,21,26,15,10159.8,676,0.676
H_2.txt,6,11,3,2948.41,7,0.007
H_20.txt,21,26,13,77509.3,451,0.451
H_21.txt,24,30,17,21807,1025,1.025
H_22.txt,24,30,16,124593,809,0.809
H_23.txt,27,33,15,17317.1,688,0.688
H_24.txt,27,33,14,89872.2,565,0.565
H_3.txt,7,15,4,302.947,15,0.015
H_4.txt,7,15,9,28379.1,165,0.165
H_5.txt,8,20,9,1994.51,165,0.165
H_6.txt,8,20,4,6963.49,15,0.015
H_7.txt,9,25,11,2931.16,288,0.288
H_8.txt,9,25,12,37907.4,365,0.365
H_9.txt,10,30,16,8747.78,812,0.812
large_1.txt,10,16,16,5224.29,806,0.806
large_10.txt,10,20,20,83553.4,1600,1.6
large_11.txt,10,20,20,63690.4,1611,1.611
large_12.txt,10,20,20,677613,1601,1.601
large_13.txt,10,27,27,10501.5,3667,3.667
large_14.txt,10,27,27,99107.8,3676,3.676
large_15.txt,10,27,27,30171.7,3677,3.677
large_16.txt,10,27,27,248657,3680,3.68
large_17.txt,10,27,27,153085,3673,3.673
large_18.txt,10,27,27,1.37251e+06,3671,3.671
large_19.txt,20,53,53,42900.3,25915,25.915
large_2.txt,10,16,16,26087.4,807,0.807
large_20.txt,20,53,53,289880,25932,25.932
large_21.txt,20,53,53,111110,25946,25.946
large_22.txt,20,53,53,971983,26040,26.04
large_23.txt,20,53,53,651031,26025,26.025
large_24.txt,20,53,53,5.55317e+06,26008,26.008
large_25.txt,20,75,75,91049.2,74799,74.799
large_26.txt,20,75,75,422323,74731,74.731
large_27.txt,20,75,75,174669,74860,74.86
large_28.txt,20,75,75,1.69623e+06,74881,74.881
large_29.txt,20,75,75,973495,74793,74.793
large_3.txt,10,16,16,6691.71,812,0.812
large_30.txt,20,75,75,1.09062e+07,74825,74.825
large_31.txt,30,110,110,212196,221029,221.029
large_32.txt,30,110,110,1.32727e+06,221346,221.346
large_33.txt,30,110,110,382563,221284,221.284
